# CFB Rankings Export
# Generated: 2025-06-05T06:08:06.680991
# Season: 2024
# Week: 1
# Neutrality Metric: 0.0001
#
rank_live,team,conference,rating_live,delta_rank,conf_weight,quality_wins
1,SMU,Independent,0.004351331959812704,0,0.5,"[""Hawai'i"", 'Lincoln (CA)', 'Georgia Tech']"
2,Hawai'i,Independent,0.004310931298388633,0,0.5,"['SMU', 'Lincoln (CA)', 'Georgia Tech']"
3,Lincoln (CA),Independent,0.0043051906577799715,0,0.5,"['SMU', ""Hawai'i"", 'Georgia Tech']"
4,Georgia Tech,ACC,0.004215394501961522,0,0.19120290003946264,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
5,Delaware State,Independent,0.004036793526433675,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
6,New Mexico,Independent,0.003860511648153087,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
7,Southeast Missouri State,Independent,0.0037760055984021224,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
8,North Alabama,Independent,0.0037760055984021224,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
9,McNeese,Independent,0.003689253230950967,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
10,Tarleton State,Independent,0.003689253230950967,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
11,Montana State,Independent,0.003565830871690058,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
12,Norfolk State,Independent,0.003448308076406529,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
13,Nevada,Independent,0.00342297944743063,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
14,Florida A&M,Independent,0.003288775738644122,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
15,Georgia State,Independent,0.0031827608889390038,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
16,Virginia Tech,ACC,0.0029498525073746312,0,0.19120290003946264,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
17,Old Dominion,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
18,The Citadel,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
19,Illinois State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
20,Northwestern,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
21,Bemidji State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
22,Millersville,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
23,Massachusetts,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
24,Towson,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
25,East Stroudsburg University,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
26,Northern State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
27,Southern Miss,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
28,UCF,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
29,California,Pac-12,0.0029498525073746312,0,0.00809148402623448,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
30,Minnesota State Mankato,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
31,West Liberty,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
32,Stephen F. Austin,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
33,Maryland,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
34,Kentucky State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
35,Michigan Tech,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
36,Akron,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
37,Sam Houston,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
38,Edward Waters,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
39,Wayne State (NE),Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
40,Hampton,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
41,LSU,SEC,0.0029498525073746312,0,0.14172402933986208,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
42,Oregon State,Pac-12,0.0029498525073746312,0,0.00809148402623448,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
43,Valley City State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
44,West Texas A&M,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
45,Emory & Henry College,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
46,Western New Mexico,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
47,Texas A&M,SEC,0.0029498525073746312,0,0.14172402933986208,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
48,Tuskegee,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
49,Indiana State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
50,Oregon,Pac-12,0.0029498525073746312,0,0.00809148402623448,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
51,Fort Hays State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
52,Texas State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
53,Miami,ACC,0.0029498525073746312,0,0.19120290003946264,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
54,Clark Atlanta,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
55,Laurinburg,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
56,Alabama,SEC,0.0029498525073746312,0,0.14172402933986208,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
57,Louisiana Tech,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
58,Villanova,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
59,Oklahoma,Big 12,0.0029498525073746312,0,0.08144837743725496,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
60,VMI,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
61,Sul Ross State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
62,Valparaiso,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
63,TCU,Big 12,0.0029498525073746312,0,0.08144837743725496,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
64,Davidson,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
65,UNLV,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
66,Georgia,SEC,0.0029498525073746312,0,0.14172402933986208,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
67,Ohio,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
68,Carson-Newman College,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
69,University Of Charleston (WV),Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
70,Texas,Big 12,0.0029498525073746312,0,0.08144837743725496,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
71,Benedict College,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
72,Valdosta State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
73,Louisiana,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
74,Alcorn State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
75,Presbyterian,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
76,Duquesne,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
77,Elon,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
78,Temple,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
79,New Mexico Highlands,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
80,Illinois,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
81,UC Davis,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
82,North Dakota State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
83,Kentucky,SEC,0.0029498525073746312,0,0.14172402933986208,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
84,Minnesota,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
85,Montana,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
86,Nebraska-Kearney,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
87,Elizabeth City State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
88,Oklahoma State,Big 12,0.0029498525073746312,0,0.08144837743725496,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
89,Lamar,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
90,Western Kentucky,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
91,Central Arkansas,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
92,Albany State GA,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
93,Texas Southern,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
94,William Jewell,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
95,Livingstone,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
96,Angelo State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
97,Quincy,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
98,Kent State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
99,Tennessee Tech,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
100,Colorado Mesa,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
101,Boise State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
102,Ferris State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
103,South Florida,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
104,South Dakota Mines,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
105,San José State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
106,St. Thomas (MN),Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
107,Colorado,Pac-12,0.0029498525073746312,0,0.00809148402623448,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
108,Southern Utah,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
109,Tulane,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
110,Long Island University,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
111,North Carolina A&T,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
112,Youngstown State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
113,Nebraska,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
114,Idaho State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
115,UL Monroe,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
116,Furman,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
117,UConn,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
118,Emporia State University,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
119,Grambling,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
120,South Alabama,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
121,Jacksonville State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
122,Robert Morris,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
123,BYU,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
124,Indiana,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
125,West Alabama,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
126,Samford,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
127,William & Mary,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
128,Drake,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
129,Gardner-Webb,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
130,Washington State,Pac-12,0.0029498525073746312,0,0.00809148402623448,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
131,Wagner,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
