rank_live,team,conference,rating_live,delta_rank,conf_weight,quality_wins,fbs_rank
29,Miami (OH),Independent,0.001830641905987,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",1
34,SMU,Independent,0.0018133999666674,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",2
35,Ohio,Independent,0.0018123956091428,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",3
39,Boise State,Independent,0.0017924536884927,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",4
47,Texas,Big 12,0.0017717340099216,0,0.0322304829938464,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",5
55,Notre Dame,Independent,0.0017324708422262,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",6
70,Tulane,Independent,0.0017040538212516,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",7
77,Western Kentucky,Independent,0.0016875207721167,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",8
78,Houston,Independent,0.0016861055595334,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",9
83,Oklahoma,Big 12,0.0016810972045179,0,0.0322304829938464,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",10
87,Colorado State,Independent,0.0016724323321931,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",11
95,Army,Independent,0.0016573418160333,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",12
101,Cincinnati,Independent,0.0016515079233098,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",13
103,Western Michigan,Independent,0.0016502234866482,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",14
105,Louisiana,Independent,0.0016482125797952,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",15
111,Arizona State,Pac-12,0.0016436745679579,0,0.0185543424291609,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",16
113,Memphis,Independent,0.0016364218307072,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']",17
