rank_retro,team,conference,rating_retro,conf_weight,quality_wins,uncertainty,fbs_rank
5,Notre Dame,Independent,0.0020571405088631,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,1
10,Texas,Big 12,0.001965791971679,0.0306271309381776,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,2
33,SMU,Independent,0.0017839822539346,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,3
35,Miami (OH),Independent,0.0017737625081914,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,4
37,Ohio,Independent,0.0017711727164328,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,5
43,UConn,Independent,0.0017587530937784,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,6
44,Boise State,Independent,0.0017532066111267,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,7
45,Army,Independent,0.0017518943075612,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,8
51,Tulane,Independent,0.0017366164393713,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,9
59,Memphis,Independent,0.0017157295760775,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,10
64,Colorado State,Independent,0.001699499518674,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,11
70,Western Kentucky,Independent,0.0016776095976511,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,12
75,Western Michigan,Independent,0.0016642858295331,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,13
77,UNLV,Independent,0.0016552509447144,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,14
80,Coastal Carolina,Independent,0.0016494989607047,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,15
85,Buffalo,Independent,0.0016483188497999,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,16
86,UTSA,Independent,0.0016461327371945,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,17
91,Louisiana,Independent,0.0016431884020864,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,18
95,Louisiana Tech,Independent,0.0016327253664418,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,19
98,Arizona State,Pac-12,0.0016295814614544,0.0167023746921781,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,20
100,South Florida,Independent,0.0016223981207944,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,21
105,Akron,Independent,0.0016166212385586,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,22
106,East Carolina,Independent,0.0016146472728943,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,23
108,Fresno State,Independent,0.001612675111478,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,24
109,Bowling Green,Independent,0.0016115133026542,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,25
113,Oklahoma,Big 12,0.0016055603594198,0.0306271309381776,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,26
115,Arkansas State,Independent,0.0016048504682586,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,27
125,Marshall,Independent,0.0015998433332054,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,28
130,Houston,Independent,0.0015890413490364,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,29
134,James Madison,Independent,0.0015869912439567,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,30
148,North Texas,Independent,0.0015771031805634,0.5,"['Defiance College', 'Lincoln (CA)', 'Valdosta State']",0.0,31
