team,games,wins,losses,win_pct,avg_margin
Akron,1,0,1,0.0,-46.0
Alabama,1,1,0,1.0,63.0
Arizona,1,1,0,1.0,22.0
Arizona State,1,1,0,1.0,41.0
Boise State,1,1,0,1.0,11.0
Boston College,1,1,0,1.0,15.0
Charlotte,1,0,1,0.0,-23.0
Clemson,1,0,1,0.0,-31.0
Coastal Carolina,1,1,0,1.0,28.0
Colorado State,1,0,1,0.0,-52.0
Eastern Michigan,1,1,0,1.0,14.0
Florida,1,0,1,0.0,-24.0
Florida Atlantic,1,0,1,0.0,-6.0
Florida International,1,0,1,0.0,-24.0
Florida State,2,0,2,0.0,-9.0
Fresno State,1,0,1,0.0,-20.0
Georgia,1,1,0,1.0,31.0
Georgia Southern,1,0,1,0.0,-11.0
Georgia State,1,0,1,0.0,-23.0
Georgia Tech,2,2,0,1.0,13.0
Hawaii,1,0,1,0.0,-3.0
Houston,1,0,1,0.0,-20.0
Indiana,1,1,0,1.0,24.0
Jacksonville State,1,0,1,0.0,-28.0
James Madison,1,1,0,1.0,23.0
Kennesaw State,1,0,1,0.0,-12.0
Kent State,1,0,1,0.0,-31.0
Kentucky,1,1,0,1.0,31.0
LSU,1,0,1,0.0,-7.0
Maryland,1,1,0,1.0,43.0
Massachusetts,1,0,1,0.0,-14.0
Miami,1,1,0,1.0,24.0
Miami (OH),1,0,1,0.0,-7.0
Michigan,1,1,0,1.0,20.0
Michigan State,1,1,0,1.0,6.0
Minnesota,1,0,1,0.0,-2.0
Nebraska,1,1,0,1.0,33.0
Nevada,2,1,1,0.5,-1.5
New Mexico,1,0,1,0.0,-22.0
North Carolina,1,1,0,1.0,2.0
North Texas,1,1,0,1.0,14.0
Northwestern,1,1,0,1.0,7.0
Notre Dame,1,1,0,1.0,10.0
Ohio,1,0,1,0.0,-16.0
Ohio State,1,1,0,1.0,46.0
Oklahoma,1,1,0,1.0,48.0
Old Dominion,1,0,1,0.0,-4.0
Penn State,1,1,0,1.0,22.0
Pittsburgh,1,1,0,1.0,31.0
Rice,1,0,1,0.0,-20.0
SMU,1,1,0,1.0,5.0
Sam Houston,1,1,0,1.0,20.0
South Alabama,1,0,1,0.0,-14.0
South Carolina,1,1,0,1.0,4.0
Southern Miss,1,0,1,0.0,-31.0
Stanford,1,0,1,0.0,-7.0
Syracuse,1,1,0,1.0,16.0
TCU,1,1,0,1.0,7.0
Temple,1,0,1,0.0,-48.0
Texas,1,1,0,1.0,52.0
Texas A&M,1,0,1,0.0,-10.0
Troy,1,0,1,0.0,-2.0
UCLA,1,1,0,1.0,3.0
UConn,1,0,1,0.0,-43.0
UNLV,1,1,0,1.0,20.0
USC,1,1,0,1.0,7.0
UTEP,1,0,1,0.0,-33.0
UTSA,1,1,0,1.0,12.0
Vanderbilt,1,1,0,1.0,7.0
Virginia Tech,1,0,1,0.0,-7.0
West Virginia,1,0,1,0.0,-22.0
Western Kentucky,1,0,1,0.0,-63.0
Western Michigan,1,0,1,0.0,-14.0
Wisconsin,1,1,0,1.0,14.0
Wyoming,1,0,1,0.0,-41.0
